datetime,demand,gen_cost_marg,gen_cost_tot,co2_marg,co2_tot,so2_marg,so2_tot,nox_marg,nox_tot,biomass_mix,coal_mix,gas_mix,geothermal_mix,hydro_mix,nuclear_mix,oil_mix,marg_gen,coal_mix_marg,marg_gen_fuel_type,mmbtu_coal,mmbtu_gas,mmbtu_oil
2017-03-20 10:00:00,68987.0,28.82304959843441,1629346.685231748,931.4937098803281,43699110.622504026,1.6491928133433889,27495.061933614692,0.9150089479463044,24380.844947458518,0,32431.042621544053,36555.95737845591,0,0,0,0,0,1.0,coal,313310.40397235553,255093.4660362895,0
2017-03-20 11:00:00,76146.0,31.156505292472062,1841985.1381344006,960.5191650390625,49874285.26177947,0.27192291617393494,32382.901802700828,0.5931119918823242,28842.864540630606,0,38347.30649453762,37798.69350546233,0,0,0,0,0,1.0,coal,372097.7168119111,267305.37208970333,0
2017-03-20 12:00:00,81274.0,32.19771680065618,2004299.9917922,1011.612060546875,54411441.10654671,2.2758688926696777,35252.178609563496,0.545172929763794,31555.929817495155,0,41999.30649453762,39274.69350546233,0,0,0,0,0,1.0,coal,409116.91843860113,281438.8477290466,0
2017-03-20 13:00:00,81889.0,32.50736044311524,2022079.9248796413,544.915771484375,54821407.030108705,0.0027512400411069393,35650.83984246163,0.27162641286849976,31723.29166542656,0,42173.95744595074,39715.04255404927,0,0,0,0,0,0.0,gas,410974.0401997525,285765.0499100736,0
2017-03-20 14:00:00,78469.0,31.60352732086182,1915061.5785972793,914.8834228515541,51891884.361516565,0.3673623129725556,32934.650469268025,0.2959117442369489,29886.722025374398,0,40032.53197024418,38436.46802975578,0,0,0,0,0,0.5,gas,388986.8481698807,273587.84946878994,0
2017-03-20 15:00:00,76863.0,31.250645711052357,1864578.6708895606,903.4405971917101,50540305.35746967,0.3720340788649337,32545.699904000543,0.4718139982183971,29245.337542437774,0,39064.30649453763,37798.69350546233,0,0,0,0,0,1.0,coal,379253.35882411187,267305.37208970333,0
2017-03-20 16:00:00,74737.0,29.75051736695591,1800028.8800046497,886.9448914977794,48938913.88385753,0.5281261953024239,31348.595218943858,1.2010865049070745,28053.09622891004,0,37890.30649453762,36846.69350546233,0,0,0,0,0,1.0,coal,367770.906758657,257650.04171212463,0
2017-03-20 17:00:00,73964.0,29.44915712425297,1777092.5599053807,999.6823547390975,48190568.908939146,0.5814550875531351,31073.520394289226,0.5175803891441513,27717.81977323229,0,37146.306494537625,36817.69350546233,0,0,0,0,0,1.0,coal,359927.440893363,257371.0979455307,0
2017-03-20 18:00:00,74291.0,29.710962412240484,1786769.373974609,947.6215303641379,48522945.802481174,0.4641522302063575,31177.63821626384,0.5060040890201363,27748.37626683553,0,37444.30649453762,36846.69350546233,0,0,0,0,0,1.0,coal,363337.7373779856,257650.04171212463,0
2017-03-20 19:00:00,73951.0,29.44915712425297,1776709.7208627653,999.6823547390975,48178734.068229005,0.5814550875531351,31067.724381174627,0.5175803891441513,27711.99307282389,0,37133.306494537625,36817.69350546233,0,0,0,0,0,1.0,coal,359800.2410046818,257371.0979455307,0
2017-03-20 20:00:00,73481.0,29.374761068352196,1762873.8731664973,885.197539988708,47756341.796995126,0.5026304159324047,30858.30735011832,0.597637797935799,27495.241203279493,0,36670.634598335804,36810.36540166415,0,0,0,0,0,1.0,coal,355295.5972609643,257313.65608658275,0
2017-03-20 21:00:00,73812.0,29.44915712425297,1772616.2880224942,999.6823547390975,48052192.30986677,0.5814550875531351,31005.751625564702,0.5175803891441513,27649.692199226378,0,36994.306494537625,36817.69350546233,0,0,0,0,0,1.0,coal,358440.1806564757,257371.0979455307,0
2017-03-20 22:00:00,75011.0,29.770784317187914,1808180.762445902,956.5953318582135,49153067.39807479,0.5422103081109588,31363.524225666046,0.3976057096398587,28646.758378425795,0,38149.17072435902,36861.829275640936,0,0,0,0,0,1.0,coal,369991.80271049845,257797.0824306316,0
2017-03-20 23:00:00,76023.0,30.576710203154164,1838705.8582149176,942.6222546787883,49886147.79367629,1.3801956064999201,31848.98450920387,0.5408413441248414,28930.840033489058,0,38579.30649453764,37443.69350546233,0,0,0,0,0,1.0,coal,374374.73211427685,263706.2256511047,0
2017-03-21 00:00:00,76416.0,30.681728386380755,1850737.532142083,944.2108007296688,50202429.4844913,1.2441483504545559,32341.91345346511,0.5280223728737434,29084.340435016053,0,38832.727036204866,37583.272963795105,0,0,0,0,0,1.0,coal,376906.5703022035,265117.3836442024,0
2017-03-21 01:00:00,77575.0,31.494624241796032,1886841.3986246206,965.1164855956947,51068509.49648522,0.11839833110571907,32667.408597341328,0.33256053924560824,29517.48213359223,0,39432.30649453763,38142.69350546233,0,0,0,0,0,1.0,coal,382871.6820279634,270856.9995158508,0
2017-03-21 02:00:00,76170.0,31.156505292472062,1840660.164028408,960.5191650390625,49897337.72174044,0.27192291617393494,32389.427952689024,0.5931119918823242,28857.099228435804,0,38371.30649453768,37798.69350546233,0,0,0,0,0,1.0,coal,372345.38233925536,267305.37208970333,0
2017-03-21 03:00:00,72970.0,29.71100768692783,1745941.5834277347,970.1939697265625,47316943.57004994,0.28421759605407715,30199.35058556463,0.25719916820526123,26575.003336765592,0,36123.30649453761,36846.69350546233,0,0,0,0,0,1.0,coal,350449.5063210327,257650.04171212463,0
2017-03-21 04:00:00,67245.0,28.246734848431842,1580424.671143407,940.8258563301156,42502450.059580706,0.4803468491248031,26019.212073245293,0.785983175298643,23552.70400977632,0,31392.042621544075,35852.95737845591,0,0,0,0,0,1.0,coal,304318.7830392176,248660.09808251218,0
2017-03-21 05:00:00,61934.0,27.28287032540277,1432551.2420471362,961.3669826165951,38697235.19114826,0.4212218688595916,24756.776472004916,0.7613850810755887,21346.09768400127,0,28833.042621544097,33100.95737845591,0,0,0,0,0,1.0,coal,278657.32091205637,227825.34527775602,0
2017-03-21 06:00:00,57296.0,26.038626491546633,1308885.7529262393,639.9801971712516,35996699.90746487,0.39918402581049556,22812.403331718808,0.36177434398413544,19443.528210657023,0,27006.211330721424,30289.78866927858,0,0,0,0,0,0.5,gas,261222.78169374669,208256.76356155117,0
2017-03-21 07:00:00,55658.0,25.60673047463577,1266385.4606388768,910.0581671252214,34965463.704256654,0.6365847555027215,21918.746768975696,0.8361546572617697,18595.018267572013,0,26295.52959466842,29362.470405331584,0,0,0,0,0,1.0,coal,253926.45891180023,201966.32971165763,0
2017-03-21 08:00:00,55074.0,25.536016226284936,1251454.5007261178,862.4925164695803,34476015.83882964,1.1887275371186128,21325.55666050421,1.3776620996830058,17788.583335529143,0,25711.52959466842,29362.470405331584,0,0,0,0,0,1.0,coal,248786.08837225375,201966.32971165763,0
2017-03-21 09:00:00,55879.0,25.839562558345335,1272085.8221206756,959.4209871947877,35171873.64514548,1.4176608108669544,22102.125438140796,0.8486815393329508,18800.340450848784,0,26516.529594668416,29362.470405331584,0,0,0,0,0,1.0,coal,256108.06052289804,201966.32971165763,0
2017-03-21 10:00:00,59004.0,26.528271424500836,1353689.757385095,647.1051788484872,36819972.171657406,0.3674693545664606,23547.708964512567,0.3725826503472999,19604.419677788603,0,27315.133459053268,31688.86654094674,0,0,0,0,0,0.5,gas,264532.5059934611,217770.7934073666,0
2017-03-21 11:00:00,66109.0,28.047030215263366,1548451.4292166017,647.4836844278549,41822053.99072981,0.38731524496879466,26086.058285878033,0.2970810232240472,23331.943481480306,0,30944.262545853868,35164.737454146125,0,0,0,0,0,0.5,gas,299781.6496527104,243923.54103776003,0
2017-03-21 12:00:00,70765.0,29.043794749823174,1681138.9822369267,957.3749642505638,45368619.50807901,0.38429121324918886,29348.653993368942,0.40604620795018,25436.44199365877,0,34189.128427503194,36575.871572496755,0,0,0,0,0,1.0,coal,330994.5902919014,255282.02856111378,0
2017-03-21 13:00:00,71714.0,29.374761068352196,1708889.8631302444,922.30330675905,46167462.54140612,0.4162034929196581,29690.93444467713,0.41877835165787536,26083.395848112235,0,34932.90512973676,36781.09487026319,0,0,0,0,0,1.0,coal,338456.7077773099,257084.21695984935,0
2017-03-21 14:00:00,71884.0,29.374761068352196,1713883.5725118644,922.30330675905,46315172.50935564,0.4162034929196581,29754.34819699454,0.41877835165787536,26147.91334687218,0,35085.27227949521,36798.727720504736,0,0,0,0,0,1.0,coal,339959.86004104686,257222.43330125502,0
2017-03-21 15:00:00,71116.0,29.374761068352196,1689139.4793808435,818.119873046875,45491709.64649711,0.40077996253967285,29411.209577841357,0.5455343723297119,25947.306757388276,0,34298.30649453768,36817.69350546233,0,0,0,0,0,1.0,coal,331072.1979708161,257371.0979455307,0
2017-03-21 16:00:00,70634.0,29.374761068352196,1674980.8445458978,818.119873046875,45097375.867688514,0.40077996253967285,29218.033635897234,0.5455343723297119,25684.359189925355,0,33816.30649453768,36817.69350546233,0,0,0,0,0,1.0,coal,326835.5430197205,257371.0979455307,0
2017-03-21 17:00:00,71339.0,29.374761068352196,1695690.0510990862,818.119873046875,45674150.37818656,0.40077996253967285,29500.583509487704,0.5455343723297119,26068.960922417802,0,34521.30649453768,36817.69350546233,0,0,0,0,0,1.0,coal,333032.31011624,257371.0979455307,0
2017-03-21 18:00:00,72132.0,29.44915712425297,1719035.8934569228,1070.7998046875,46498367.507644415,0.5469131469726562,29919.869457359688,0.3193203806877136,26344.49820980159,0,35314.30649453768,36817.69350546233,0,0,0,0,0,1.0,coal,341887.4335106496,257371.0979455307,0
2017-03-21 19:00:00,72443.0,29.699895014920195,1728218.974644003,969.7026977539062,46805689.30791583,0.28681516647338867,30049.375122912083,0.25748640298843384,26439.438638433956,0,35596.30649453768,36846.69350546233,0,0,0,0,0,1.0,coal,345017.19807205605,257650.04171212463,0
2017-03-21 20:00:00,73378.0,29.75051736695591,1756011.2973993195,829.8280029296875,47665289.608386405,0.27593380212783813,30312.508334258888,1.8749747276306152,27227.313341358473,0,36531.30649453768,36846.69350546233,0,0,0,0,0,1.0,coal,354184.32775140775,257650.04171212463,0
2017-03-21 21:00:00,73506.0,29.75051736695591,1759819.3636222898,829.8280029296875,47771507.592761405,0.27593380212783813,30347.82786093125,1.8749747276306152,27467.31010649519,0,36659.30649453768,36846.69350546233,0,0,0,0,0,1.0,coal,355325.6111986734,257650.04171212463,0
2017-03-21 22:00:00,74515.0,30.291079309937746,1789965.5068218664,962.999755859375,48620660.067384526,1.981463074684143,30887.64959884258,0.6199672222137451,28282.749305543955,0,37470.30649453768,37044.69350546233,0,0,0,0,0,1.0,coal,363249.79151604435,259580.4858706787,0
2017-03-21 23:00:00,75301.0,30.582292097293223,1813883.9405229797,948.6646118164062,49211788.32147422,2.198141574859619,31713.44784590994,0.524807333946228,28524.308502390028,0,37857.30649453768,37443.69350546233,0,0,0,0,0,1.0,coal,367125.13497383107,263706.2256511047,0
2017-03-22 00:00:00,75598.0,30.681728386380755,1822976.2415869017,954.46923828125,49422245.341589436,2.255221366882324,31979.04506743452,0.4892295002937317,28610.92527350364,0,37977.30649453768,37620.69350546233,0,0,0,0,0,1.0,coal,368323.1080289843,265495.7079127624,0
2017-03-22 01:00:00,76291.0,31.156505292472062,1844430.1011687971,960.5191650390625,50013560.540710166,0.27192291617393494,32422.33062554607,0.5931119918823242,28928.865779453565,0,38492.30649453768,37798.69350546233,0,0,0,0,0,1.0,coal,373594.02937294677,267305.37208970333,0
2017-03-22 02:00:00,74593.0,30.29463523527891,1792328.294035515,560.9948120117188,48686387.61537547,0.002835508668795228,30996.00464749359,0.023629238829016685,28317.182824328338,0,37524.95744595074,37068.04255404927,0,0,0,0,0,0.0,gas,363802.9721846539,259823.47700482557,0
